CDS,length,EarL1,EarL2,EarL3,LateL1,LateL2,LateL3,Male1,Male2,Male3,NPF1,NPF2,NPF3,PreL1,PreL2,PreL3
Dp-1,729,97006,5604,17672,15001,38531,36608,112244,118330,107914,1522,5125,23650,25183,43473,12928
Dp-100008,264,162,103,159,172,199,156,168,128,156,43,167,228,237,65,165
Dp-100032,738,178,15,72,29,68,100,182,146,332,19,291,149,113,89,155
Dp-100045,2388,314,55,190,197,274,286,350,500,383,85,306,403,453,69,148
Dp-100046,1440,45,16,266,57,326,1130,124,218,180,209,188,167,772,18,65
Dp-100055,1536,21,3,104,27,167,193,155,165,162,53,109,108,386,14,74
Dp-100056,1227,8,12,286,31,81,827,85,128,71,4,113,281,853,3,33
Dp-100072,2265,113,2,196,25,229,264,106,214,161,75,82,136,252,6,50
Dp-100077,1557,63,17,184,43,174,576,200,235,215,96,125,171,271,19,83
Dp-100084,297,906,443,1191,606,1175,1256,1084,260,267,766,976,1379,334,323,618
Dp-100091,609,96,46,335,90,229,496,199,316,398,132,203,318,820,35,167
Dp-100092,2142,208,56,589,201,526,981,513,806,781,249,469,694,1502,44,297
Dp-100100,1452,49,8,137,23,153,180,241,349,248,484,662,259,327,11,43
Dp-100113,2397,2482,1075,3300,1414,3098,4311,3094,1352,948,2776,5087,4092,1953,610,2140
Dp-100125,222,30,17,37,45,24,44,64,61,81,32,15,41,75,32,34
Dp-100134,618,63401,80011,179184,135189,122063,133952,137219,131169,226455,177972,219972,253792,497468,48167,95980
Dp-100136,597,40,3,70,30,86,117,53,64,53,22,41,58,123,10,50
Dp-100148,696,121,79,154,58,98,624,162,105,87,36,396,485,288,13,364
Dp-100149,318,373,560,731,855,453,748,907,732,481,372,429,709,917,276,278
Dp-100150,921,2322,534,1399,547,1449,2194,1731,2649,2002,105,759,914,1981,683,2276
Dp-100156,1602,309,218,356,294,376,448,466,626,549,118,393,420,840,124,252
Dp-100157,195,90,43,88,78,94,123,86,79,105,16,102,135,189,40,102
Dp-100158,240,1251,487,1550,941,1742,2000,1572,2110,1965,490,1455,1874,2812,482,938
Dp-100159,1128,618,419,995,899,635,599,1174,1343,1460,287,614,1075,2007,270,535
Dp-100160,1500,929,250,681,271,670,1033,939,940,979,229,565,916,845,220,523
Dp-100161,483,1702,877,1567,766,1681,2205,1807,2101,2226,722,1628,2329,2478,503,1136
Dp-100164,1800,455,109,727,367,845,1009,708,938,949,339,757,928,1689,135,360
Dp-100165,1242,132,25,481,141,443,767,418,586,642,235,405,609,1325,44,184
Dp-100166,522,92,331,552,87,43,267,4928,94,10904,16210,78495,21639,1718,2341,2579
Dp-100196,255,520,330,913,804,853,981,1773,1451,1275,444,789,1279,2142,328,642
Dp-100209,660,11,0,57,14,77,72,27,81,70,11,24,46,133,9,29
Dp-10021,597,356,240,354,376,507,491,366,406,456,172,363,460,776,169,474
Dp-100226,615,8588,7601,6431,7019,8514,8972,7416,8917,8234,2247,7075,8101,13243,2608,7297
Dp-100227,255,5983,6632,3771,7123,6755,6997,4156,5653,7216,2804,5149,6346,11542,2129,5628
Dp-100228,687,409,164,589,290,519,757,600,736,761,200,428,671,1140,116,348
Dp-100238,807,88,17,164,58,142,331,197,256,314,125,247,250,530,22,110
Dp-100250,894,21,0,10,2,22,63,32,24,20,13,28,32,45,3,8
Dp-100253,1185,1771,473,1499,869,1709,1988,2010,2419,2971,399,1934,1601,2495,771,1690
Dp-100265,339,1453,705,2098,1378,2019,2218,3381,3166,2838,655,1773,3066,4754,586,1326
Dp-100273,153,469,274,583,600,564,651,926,1043,891,227,512,831,1541,257,410
Dp-100278,549,100,44,133,82,204,142,151,203,188,37,155,222,311,24,97
Dp-100280,1212,79,64,108,27,126,164,151,103,121,109,115,149,153,31,62
Dp-100286,447,6,0,40,2,14,63,20,32,39,45,12,27,127,1,7
Dp-100297,1485,126,48,483,165,345,478,253,350,289,104,170,497,1002,24,307
Dp-10030,1893,136,2,374,49,167,112,920,1379,624,13,57,3,120,11,26
Dp-100305,2043,177,101,370,315,348,270,477,507,448,125,333,489,795,102,202
Dp-100306,570,452,233,412,496,545,463,636,585,673,184,635,584,888,208,399
Dp-100312,504,129,11,111,51,178,219,170,227,262,95,275,254,262,32,127
Dp-100315,432,174,46,279,130,327,303,188,307,307,105,252,337,427,76,254
Dp-100336,1515,860,189,816,386,965,1283,1095,1356,1676,93,630,1019,1313,230,561
Dp-10034,888,170,7,118,20,114,52,118,106,277,26,61,55,119,40,54
Dp-100340,1392,435,153,499,238,533,790,416,622,624,66,419,623,866,115,407
Dp-100341,330,2129,796,3680,1786,3852,4225,3234,4283,3612,2126,4383,4344,5557,687,1959
Dp-100347,735,123,25,100,79,125,165,135,202,190,45,156,146,237,43,108
Dp-100352,651,7219,7243,6115,8497,8008,8197,7699,9378,8790,2821,6474,8058,13696,2739,6366
Dp-100360,240,23,13,32,34,47,44,27,30,61,72,77,66,95,6,43
Dp-100366,2010,4575,1222,8178,4685,6870,8292,9717,11963,9565,3691,6043,9676,17063,1229,4197
Dp-10037,870,144,48,140,117,144,128,257,246,309,58,172,182,308,69,124
Dp-100371,1401,1220,399,1404,543,1553,2351,1685,798,564,571,1130,2172,1152,530,959
Dp-100389,192,26,2,65,22,70,83,32,81,76,18,40,54,99,5,43
Dp-100391,744,2261,415,3752,2073,4390,4867,3979,6020,5365,1529,3331,4096,10006,620,2131
Dp-100394,1848,122,53,252,133,189,324,279,492,342,68,193,346,758,61,97
Dp-10041,1089,33220,41726,94839,70252,56191,63500,107088,106508,139238,65783,77736,122058,265434,24349,50906
Dp-100435,558,1437,274,1249,400,1060,1702,2332,2692,2430,355,835,1062,1928,454,1393
Dp-100436,1920,30,2,48,11,23,60,66,61,77,120,84,77,59,10,31
Dp-100438,999,1613,670,3610,1568,3021,4649,3454,5447,4844,2233,3272,3815,7826,633,1712
Dp-100447,1776,63,1,349,61,209,256,139,216,170,218,189,188,1410,10,41
Dp-100449,5955,56574,67984,367032,180530,216248,253734,283926,318551,402805,336706,339305,513888,1048038,25779,124062
